reportingrailroadcode,accidentnumber,date,time,accidenttype,hazmatreleasedcars,station,stateabbr,temperature,visibility_code,visibility,weathercondition,tracktype,equipmenttype,trainspeed,equipmentdamagecost,trackdamagecost,totaldamagecost,primaryaccidentcausecode,latitude,longitude,prior_temp,actual_temp,following_temp
CSX,000178042,8/7/2018,10:51 AM,Derailment,0,BUFFALO,NY,73,2,Day,Cloudy,Yard,Yard/switching,6,19801,1440,21241,T001,42.901973,-78.773441,79.3,75.1,72.4
CSX,000182665,4/30/2019,12:25 AM,Derailment,0,MILLBURY,OH,42,4,Dark,Cloudy,Yard,Freight Train,7,21848,1017,22865,T111,41.544006,-83.485654,44.3,45.5,56.6
CSX,000138406,12/3/2014,11:45 PM,Derailment,0,PARMA,OH,35,4,Dark,Clear,Industry,Yard/switching,7,20456,500,20956,T110,41.406978,-81.787482,30.0,34.7,30.4
CSX,000188525,2/19/2020,8:44 AM,Derailment,0,CINCINNATI,OH,25,2,Day,Clear,Yard,Cut of cars,0,84949,0,625123,T207,39.125335,-84.540044,48.2,34.9,29.7
CSX,000175393,3/24/2018,10:53 AM,Derailment,0,LIMA,OH,36,2,Day,Clear,Yard,Yard/switching,7,115993,0,196239,T311,40.745354,-84.101095,33.6,31.3,31.8
BNSF,RD0421108,4/19/2021,11:35 AM,Derailment,0,MADILL,OK,60,2,Day,Clear,Industry,Light loco(s),8,10082,2000,12082,T112,34.07392,-96.757836,52.3,56.0,46.5
AB,DR16001,4/12/2016,12:45 PM,Derailment,0,KENT,OH,65,2,Day,Clear,Main,Freight Train,5,1631,34073,42561,T110,41.246653,-81.36565,51.5,40.4,41.0
CSX,000156748,2/2/2016,11:20 PM,Derailment,0,FOSTORIA,OH,29,4,Dark,Clear,Industry,Freight Train,6,22003,15000,37003,T205,41.152943,-83.414598,39.7,38.2,49.1
BNSF,SF0716100,7/3/2016,8:15 PM,Derailment,0,ST LOUIS,MO,70,3,Dusk,Cloudy,Yard,Freight Train,3,14940,120000,134940,T210,38.605448,-90.310731,66.6,66.9,74.7
SLWC,160602002,6/2/2016,7:30 AM,Derailment,0,TULSA,OK,75,1,Dawn,Clear,Main,Freight Train,8,12592,0,52592,T110,36.160462,-95.984322,73.4,72.9,73.5
KO,20161207,12/6/2016,10:30 PM,Derailment,0,GREAT BEND,KS,32,4,Dark,Clear,Main,Freight Train,5,44000,7850,51850,T202,38.355602,-98.767888,41.6,30.6,24.5
UP,1022RM002,10/2/2022,1:45 AM,Derailment,0,GRAND JUNCTION,CO,58,4,Dark,Cloudy,Yard,Freight Train,7,297077,319968,617045,T202,39.069326,-108.525195,59.0,58.3,57.1
CVR,CVR072018D,7/20/2018,4:30 PM,Derailment,0,COPELAND,KS,103,2,Day,Clear,Main,Freight Train,10,190600,17830,208430,T109,37.555,-100.587222,82.2,83.3,80.6
NS,136562,12/18/2019,1:22 PM,Derailment,0,DECATUR,IL,21,2,Day,Clear,Yard,Yard/switching,9,2000,10000,12000,T110,39.851221,-88.926746,22.4,19.4,25.3
BNSF,HL1219111,12/23/2019,4:25 PM,Derailment,0,BURLINGTON,IA,40,2,Day,Clear,Yard,Freight Train,5,70062,5000,75062,T110,40.750467,-91.113387,40.6,41.9,46.6
CSX,000161895,8/3/2016,7:45 PM,Derailment,0,SASSAFRAS,KY,82,2,Day,Clear,Industry,Freight Train,7,13979,530,14509,T110,37.221012,-83.056146,73.3,75.4,75.0
