reportingrailroadcode,accidentnumber,date,time,accidenttype,hazmatreleasedcars,station,stateabbr,temperature,visibility_code,visibility,weathercondition,tracktype,equipmenttype,trainspeed,equipmentdamagecost,trackdamagecost,totaldamagecost,primaryaccidentcausecode,latitude,longitude,prior_temp,actual_temp,following_temp,before_temp_change,after_temp_change,across_temp_change,accident_category
BNSF,KS1019107,2019-10-13,7:25 AM,Derailment,0,ABILENE,KS,45,1.0,Dawn,Clear,Industry,Freight Train,8,28896,0,28896,H307,38.915447,-97.221002,46.7,48.4,57.8,1.6999999999999957,9.399999999999999,11.099999999999994,Other
UP,0515FW017,2015-05-21,9:45 AM,Derailment,0,ABILENE,TX,49,2.0,Day,Cloudy,Yard,Freight Train,4,3128,46581,49709,T207,32.448967,-99.732792,64.8,57.6,64.4,-7.199999999999996,6.800000000000004,-0.3999999999999915,Track-related
MBTA,2024043,2024-02-27,2:03 PM,Other (describe in narrative),0,ACTON,MA,42,2.0,Day,Clear,Main,Passenger Train - Pushing,52,40459,0,40459,M404,42.463285,-71.466755,39.2,42.6,53.7,3.3999999999999986,11.100000000000001,14.5,Other
BNSF,RD0323112,2023-03-10,8:55 AM,Derailment,0,ADA,OK,63,1.0,Dawn,Clear,Industry,Freight Train,4,12830,5000,17830,T110,34.77553,-96.681251,50.2,46.9,60.0,-3.3000000000000043,13.100000000000001,9.799999999999997,Track-related
UP,1223PR009,2023-12-13,6:15 AM,Derailment,0,ADAMS,WI,25,1.0,Dawn,Clear,Main,Freight Train,5,400,27555,27955,H702,43.965046,-89.861299,26.1,27.3,37.9,1.1999999999999993,10.599999999999998,11.799999999999997,Other
UP,0622GL009,2022-06-13,6:00 PM,Derailment,0,ADAMS,WI,73,3.0,Dusk,Cloudy,Yard,Freight Train,8,100,19336,31376,T313,43.957019,-89.835709,65.1,64.0,80.0,-1.0999999999999943,16.0,14.900000000000006,Track-related
UP,0622GL009,2022-06-13,6:00 PM,Derailment,0,ADAMS,WI,73,3.0,Dusk,Cloudy,Yard,Cut of cars,0,11940,0,31376,T313,43.957019,-89.835709,65.1,64.0,80.0,-1.0999999999999943,16.0,14.900000000000006,Track-related
UP,1118LV020,2018-11-15,3:11 AM,Derailment,0,ADDIS,LA,32,4.0,Dark,Cloudy,Industry,Yard/switching,3,237200,15078,252278,T221,30.330598,-91.243042,37.4,40.3,47.7,2.8999999999999986,7.400000000000006,10.300000000000004,Other
MNA,821618R,2018-10-16,1:05 PM,Derailment,0,ADRIAN,MO,60,2.0,Day,Clear,Industry,Freight Train,4,91700,38000,129700,T220,38.38598,-94.353286,38.4,44.4,53.6,6.0,9.200000000000003,15.200000000000003,Other
BNSF,CH0223108,2023-02-03,10:00 PM,Other (describe in narrative),0,AGENCY,IA,10,4.0,Dark,Clear,Main,Freight Train,50,7377,46085,53462,E61C,40.990097,-92.258035,22.0,5.7,34.3,-16.3,28.599999999999998,12.299999999999997,Other
NCVA,NCV640315,2015-01-01,8:35 PM,Derailment,0,AHOSKIE,NC,45,3.0,Dusk,Clear,Main,Freight Train,10,22604,72739,95343,T221,36.257472,-77.024122,31.5,36.4,46.1,4.899999999999999,9.700000000000003,14.600000000000001,Other
WE,220012,2022-02-08,7:30 PM,Derailment,0,AKRON,OH,24,4.0,Dark,Clear,Yard,Yard/switching,7,12687,10965,23652,H702,41.065087,-81.443819,30.8,25.8,40.1,-5.0,14.3,9.3,Other
WE,170017,2017-02-16,6:20 PM,Derailment,0,AKRON,OH,25,3.0,Dusk,Clear,Yard,Yard/switching,6,755,14316,15071,T110,41.065095,-81.442419,32.3,25.3,38.0,-6.9999999999999964,12.7,5.700000000000003,Track-related
RCPE,RCP340623S,2023-02-24,3:30 AM,Side collision,0,ALADDIN,WY,-15,4.0,Dark,Cloudy,Industry,Freight Train,5,35000,1500,36500,H306,44.869606,-104.161272,-12.4,-2.4,35.1,10.0,37.5,47.5,Other
CP,1000422381,2016-07-12,5:18 PM,Derailment,0,ALBANY,NY,88,2.0,Day,Clear,Yard,Light loco(s),4,54916,0,62144,T303,42.630274,-73.763678,68.2,71.5,78.7,3.299999999999997,7.200000000000003,10.5,Track-related
APRR,07161601,2016-07-12,5:18 PM,Derailment,0,ALBANY,NY,88,2.0,Day,Clear,Yard,Freight Train,0,0,7228,62144,T303,42.630274,-73.763678,68.2,71.5,78.7,3.299999999999997,7.200000000000003,10.5,Track-related
NS,123090,2016-12-10,12:14 PM,Derailment,0,ALBANY,GA,67,2.0,Day,Clear,Yard,Freight Train,3,1200,18292,19492,T110,31.584475,-84.149669,42.6,40.4,51.5,-2.200000000000003,11.100000000000001,8.899999999999999,Track-related
