reportingrailroadcode,accidentnumber,date,time,accidenttype,hazmatreleasedcars,station,stateabbr,temperature,visibility_code,visibility,weathercondition,tracktype,equipmenttype,trainspeed,equipmentdamagecost,trackdamagecost,totaldamagecost,primaryaccidentcausecode,latitude,longitude,prior_temp,actual_temp,following_temp
CSX,000202589,2022-01-22,10:00 AM,Other impacts,0,NASHVILLE,TN,26,2,Day,Clear,Yard,Yard/switching,7,14000,0,14000,M201,36.112136,-86.770713,23.7,25.1,35.3
CSX,000154639,2015-11-24,6:30 PM,Hwy-rail crossing,0,BROWNSVILLE,TN,62,4,Dark,Cloudy,Main,Freight Train,45,9542,6050,15592,M302,35.542084,-89.286124,38.6,45.9,54.6
CSX,000198730,2021-02-11,8:14 PM,Other impacts,0,NASHVILLE,TN,40,4,Dark,Cloudy,Yard,Cut of cars,5,15417,0,15417,M201,36.112142,-86.770737,45.4,33.2,28.9
CSX,000200286,2021-09-23,7:55 PM,Derailment,0,HAMILTON,OH,59,3,Dusk,Cloudy,Main,Freight Train,10,13247,1377,14624,M201,39.387621,-84.556584,59.5,56.3,56.2
CSX,000155069,2015-12-10,9:31 AM,Derailment,0,FOSTORIA,OH,50,2,Day,Clear,Main,Freight Train,6,9862,14738,24600,E67C,41.143666,-83.350327,44.4,47.9,50.6
BNSF,MT1115104,2015-11-17,8:45 PM,Derailment,0,HAVRE,MT,30,4,Dark,Clear,Yard,Light loco(s),5,40000,0,40000,E64L,48.553841,-109.668618,34.6,43.6,30.3
BNSF,HL0823117,2023-08-31,5:58 AM,Derailment,0,MEMPHIS,TN,75,1,Dawn,Clear,Yard,Yard/switching,3,11499,1500,12999,H704,35.021711,-89.892409,76.3,72.7,73.8
CSX,000210467,2023-03-25,7:30 AM,Obstruction,0,CHATTANOOGA,TN,50,4,Dark,Rain,Main,Freight Train,25,42267,0,42267,M404,35.07489,-85.25245,70.3,69.8,65.4
UP,0616HO019,2016-06-09,1:48 AM,Derailment,0,HOUSTON,TX,70,4,Dark,Cloudy,Yard,Freight Train,6,120306,0,251992,H702,29.789974,-95.298225,83.5,82.7,83.1
BNSF,SF0815102,2015-08-07,6:05 PM,Derailment,0,MEMPHIS,TN,90,3,Dusk,Clear,Yard,Yard/switching,8,37299,6950,44249,E76L,35.016892,-89.886329,77.4,80,83.6
