reportingrailroadcode,accidentnumber,date,time,accidenttype,hazmatreleasedcars,station,stateabbr,temperature,visibility_code,visibility,weathercondition,tracktype,equipmenttype,trainspeed,equipmentdamagecost,trackdamagecost,totaldamagecost,primaryaccidentcausecode,latitude,longitude
CSX,000178042,2018-08-07,10:51 AM,Derailment,0,BUFFALO,NY,73.0,2,Day,Cloudy,Yard,Yard/switching,6,19801,1440,21241,T001,42.901972999999998,-78.773441000000005
CSX,000182665,2019-04-30,12:25 AM,Derailment,0,MILLBURY,OH,42.0,4,Dark,Cloudy,Yard,Freight Train,7,21848,1017,22865,T111,41.544006000000003,-83.485653999999997
CSX,000138406,2014-12-03,11:45 PM,Derailment,0,PARMA,OH,35.0,4,Dark,Clear,Industry,Yard/switching,7,20456,500,20956,T110,41.406978000000002,-81.787481999999997
CSX,000188525,2020-02-19,8:44 AM,Derailment,0,CINCINNATI,OH,25.0,2,Day,Clear,Yard,Cut of cars,0,84949,0,625123,T207,39.125335,-84.540043999999995
CSX,000175393,2018-03-24,10:53 AM,Derailment,0,LIMA,OH,36.0,2,Day,Clear,Yard,Yard/switching,7,115993,0,196239,T311,40.745353999999999,-84.101095000000001
BNSF,RD0421108,2021-04-19,11:35 AM,Derailment,0,MADILL,OK,60.0,2,Day,Clear,Industry,Light loco(s),8,10082,2000,12082,T112,34.073920000000001,-96.757835999999998
AB,DR16001,2016-04-12,12:45 PM,Derailment,0,KENT,OH,65.0,2,Day,Clear,Main,Freight Train,5,1631,34073,42561,T110,41.246653000000002,-81.365650000000002
CSX,000156748,2016-02-02,11:20 PM,Derailment,0,FOSTORIA,OH,29.0,4,Dark,Clear,Industry,Freight Train,6,22003,15000,37003,T205,41.152943,-83.414597999999998
BNSF,SF0716100,2016-07-03,8:15 PM,Derailment,0,ST LOUIS,MO,70.0,3,Dusk,Cloudy,Yard,Freight Train,3,14940,120000,134940,T210,38.605448000000003,-90.310731000000004
SLWC,160602002,2016-06-02,7:30 AM,Derailment,0,TULSA,OK,75.0,1,Dawn,Clear,Main,Freight Train,8,12592,0,52592,T110,36.160462000000003,-95.984322000000006
WE,170096,2017-08-23,2:00 PM,Derailment,0,NORWALK,OH,65.0,2,Day,Clear,Main,Freight Train,24,35024,109445,144469,T110,41.240223999999998,-82.619073999999998
ATK,146920,2017-04-03,9:00 AM,Derailment,0,NEW YORK NEW YORK,NY,55.0,2,Day,Clear,Main,,0,0,718000,963409,T113,40.751736999999999,-73.996820999999997
